date,geothermal,biomass,biogas,small_hydro,wind_total,solar_pv,solar_thermal
2020-01-01,650,325,232,281,3360,6745,243
2020-01-02,653,326,232,312,3377,6953,324
2020-01-03,684,333,227,306,809,7499,373
2020-01-04,686,330,228,300,2299,7439,308
2020-01-05,689,311,228,292,3055,7574,224
2020-01-06,688,279,229,271,1161,7286,377
2020-01-07,689,341,231,273,1941,6259,369
2020-01-08,685,354,230,297,4162,6360,373
2020-01-09,685,337,229,268,3923,6107,368
2020-01-10,687,348,224,264,2097,7987,248
2020-01-11,676,350,224,282,3775,6587,242
2020-01-12,677,358,223,277,3794,7583,183
2020-01-13,691,353,221,328,3770,8039,251
2020-01-14,692,348,227,329,3618,7116,240
2020-01-15,693,336,222,321,3581,7522,211
2020-01-16,690,343,264,330,3039,7023,246
2020-01-17,693,334,215,299,2948,6813,207
2020-01-18,692,333,214,334,918,6566,229
2020-01-19,834,352,212,316,981,6028,236
2020-01-20,892,349,214,277,1140,3848,0
2020-01-21,875,375,216,281,2879,6830,0
2020-01-22,844,369,214,316,3103,7975,231
2020-01-23,897,367,220,264,953,7339,248
2020-01-24,897,366,220,249,2395,7470,124
2020-01-25,897,363,219,327,2206,7825,186
2020-01-26,900,368,225,338,3162,7123,78
2020-01-27,897,363,222,265,3369,8623,144
2020-01-28,896,356,224,310,3615,7553,55
2020-01-29,898,368,228,336,2926,7233,88
2020-01-30,882,369,229,332,1127,7122,90
2020-01-31,892,372,228,320,1127,7727,88
2020-02-01,895,374,225,303,612,8117,89
2020-02-02,897,374,226,284,612,7600,134
2020-02-03,902,368,223,346,612,8732,90
2020-02-04,955,359,218,289,612,8876,95
2020-02-05,948,374,227,297,612,8633,109
2020-02-06,910,367,228,257,612,8798,333
2020-02-07,915,319,230,262,612,8869,213
2020-02-08,915,307,231,207,612,8341,214
2020-02-09,915,315,230,211,612,7559,211
2020-02-10,914,329,223,249,612,7700,161
2020-02-11,885,324,222,255,612,9240,213
2020-02-12,901,342,223,253,612,9421,213
2020-02-13,913,349,223,244,612,9131,215
2020-02-14,915,345,213,224,612,9075,213
2020-02-15,921,333,189,224,612,9211,211
2020-02-16,911,364,184,201,612,8157,210
2020-02-17,918,352,185,235,612,9467,210
2020-02-18,764,353,189,251,612,9045,197
2020-02-19,708,350,204,268,612,9422,213
