date,hour,geothermal,biomass,biogas,small_hydro,wind_total,solar_pv,solar_thermal
2020-01-01,1,650,301,230,209,798,0,0
2020-01-01,2,648,302,231,209,1011,0,0
2020-01-01,3,646,305,231,211,1027,0,0
2020-01-01,4,644,300,231,210,931,0,0
2020-01-01,5,644,300,232,209,1299,0,0
2020-01-01,6,644,305,231,225,1049,0,0
2020-01-01,7,644,291,231,233,780,0,0
2020-01-01,8,645,282,231,234,983,1096,0
2020-01-01,9,643,280,230,219,1351,4770,0
2020-01-01,10,641,277,229,179,1393,6745,19
2020-01-01,11,641,284,227,178,1765,6526,125
2020-01-01,12,638,289,228,176,1877,6168,243
2020-01-01,13,638,293,227,177,2710,5730,86
2020-01-01,14,639,309,224,178,2903,5288,115
2020-01-01,15,639,315,230,196,2955,5652,176
2020-01-01,16,641,312,231,204,3168,3203,92
2020-01-01,17,643,319,230,267,2989,598,0
2020-01-01,18,644,322,231,270,2959,0,0
2020-01-01,19,645,325,231,279,2834,0,0
2020-01-01,20,647,325,231,281,3086,0,0
2020-01-01,21,648,318,231,272,2884,0,0
2020-01-01,22,648,319,231,237,3039,0,0
2020-01-01,23,648,305,226,217,3354,0,0
2020-01-01,24,650,301,230,211,3360,0,0
2020-01-02,1,650,302,232,208,3377,0,0
2020-01-02,2,652,300,232,184,2804,0,0
2020-01-02,3,651,300,231,159,2364,0,0
2020-01-02,4,652,296,231,200,2415,0,0
2020-01-02,5,653,296,231,209,2485,0,0
2020-01-02,6,653,304,231,238,2800,0,0
2020-01-02,7,653,318,230,241,2934,0,0
2020-01-02,8,653,316,228,231,2386,1269,0
2020-01-02,9,652,314,227,214,1399,4792,137
2020-01-02,10,650,311,223,205,815,6656,296
2020-01-02,11,648,302,225,191,989,6527,319
2020-01-02,12,647,305,226,144,1008,6953,323
2020-01-02,13,644,310,227,150,946,6636,324
2020-01-02,14,643,311,228,150,766,6641,315
2020-01-02,15,643,307,228,209,566,5889,272
2020-01-02,16,643,309,227,232,393,3617,174
2020-01-02,17,645,322,226,270,358,516,78
2020-01-02,18,646,326,222,312,370,0,74
2020-01-02,19,646,324,226,278,348,0,75
2020-01-02,20,646,324,227,273,256,0,75
2020-01-02,21,647,316,227,273,249,0,31
2020-01-02,22,646,318,227,258,376,0,0
