date,geothermal,biomass,biogas,small_hydro,wind_total,solar_pv,solar_thermal
2020-01-01,15458.0,7279.0,5515.0,5281.0,50505,45776,856
2020-01-02,15553.0,7426.0,5466.0,5276.0,31270,49496,2493
2020-01-03,15866.0,7485.0,5386.0,5332.0,12358,53079,1453
2020-01-04,16376.0,7410.0,5421.0,5544.0,36376,53359,1501
2020-01-05,16443.0,6940.0,5443.0,5110.0,51320,50533,1068
2020-01-06,16406.0,6140.0,5439.0,4832.0,17611,53149,2597
2020-01-07,16423.0,7211.0,5485.0,4834.0,21928,43184,1882
2020-01-08,16189.0,7863.0,5344.0,4854.0,79758,42422,2369
2020-01-09,16268.0,7627.0,5423.0,4677.0,73105,40825,1742
2020-01-10,16409.0,7823.0,5268.0,4601.0,21825,59208,1678
2020-01-11,16162.0,8077.0,5268.0,4761.0,69769,47350,1581
2020-01-12,16079.0,8190.0,5294.0,4484.0,67607,52722,775
2020-01-13,16481.0,8166.0,5252.0,5198.0,73236,58392,1696
2020-01-14,16407.0,7646.0,5228.0,5252.0,76921,52297,1536
2020-01-15,16423.0,7422.0,5200.0,5115.0,25555,55652,1174
2020-01-16,16484.0,7707.0,5858.0,5123.0,40563,48102,1459
2020-01-17,16546.0,7293.0,5105.0,5103.0,33012,50098,1185
2020-01-18,16540.0,7451.0,5079.0,5679.0,13950,48003,963
2020-01-19,17145.0,7996.0,5038.0,5465.0,15026,37177,1093
2020-01-20,20383.0,8074.0,4976.0,4697.0,11915,19206,0
2020-01-21,16564.0,8405.0,5058.0,4673.0,50308,45559,0
2020-01-22,17040.0,8517.0,5035.0,4808.0,38729,57676,1248
2020-01-23,20723.0,8031.0,5078.0,4746.0,11775,53759,1510
2020-01-24,20779.0,8340.0,5199.0,4748.0,33220,54280,611
2020-01-25,21408.0,8428.0,5216.0,5262.0,21509,59066,1084
2020-01-26,21453.0,8140.0,5334.0,5754.0,53642,48567,99
2020-01-27,21282.0,8363.0,5251.0,5376.0,65150,65238,628
2020-01-28,21291.0,8227.0,5164.0,5561.0,67096,56222,158
2020-01-29,21291.0,8362.0,5330.0,5864.0,41073,55006,438
2020-01-30,20990.0,8597.0,5426.0,5948.0,13595,56457,721
2020-01-31,21120.0,8634.0,5414.0,5612.0,17006,59683,653
2020-02-01,21299.0,8363.0,5359.0,5496.0,14688,64944,685
2020-02-02,21422.0,8721.0,5352.0,5317.0,14688,59204,1021
2020-02-03,21404.0,8297.0,5135.0,5863.0,14688,66154,658
2020-02-04,22212.0,7882.0,5018.0,5123.0,14688,70609,754
2020-02-05,21150.0,8384.0,5196.0,4958.0,14688,65626,521
2020-02-06,20967.0,8219.0,5320.0,4791.0,14688,72025,1837
2020-02-07,21762.0,7174.0,5396.0,4610.0,14688,73049,1645
2020-02-08,21831.0,7155.0,5505.0,4200.0,14688,65346,1655
2020-02-09,21794.0,7180.0,5352.0,4083.0,14688,58381,777
2020-02-10,21100.0,7387.0,5271.0,4526.0,14688,56084,996
2020-02-11,20687.0,7362.0,5217.0,4558.0,14688,75553,1748
2020-02-12,21283.0,7794.0,5240.0,4382.0,14688,77429,1747
2020-02-13,21665.0,7978.0,5213.0,4284.0,14688,75165,1730
2020-02-14,21854.0,7837.0,4664.0,3839.0,14688,73869,1791
2020-02-15,21953.0,7798.0,4484.0,3490.0,14688,74287,1435
2020-02-16,21746.0,8189.0,4385.0,3556.0,14688,67853,1786
2020-02-17,19105.0,8209.0,4354.0,3729.0,14688,79349,1349
2020-02-18,17183.0,8164.0,4361.0,4305.0,14688,74288,1024
2020-02-19,16577.0,7904.0,4714.0,4669.0,14688,79559,1747
2020-02-20,17381.0,7847.0,4926.0,4453.0,14688,81957,2512
2020-02-21,18813.0,8163.0,4979.0,4868.0,14688,56798,2689
2020-02-22,18683.0,8526.0,5081.0,4422.0,14688,52085,0
2020-02-23,18802.0,7183.0,4892.0,4290.0,14688,69039,2025
2020-02-24,18341.0,6908.0,4928.0,4728.0,14688,85480,2383
2020-02-25,19444.0,7913.0,5104.0,4848.0,14688,83962,2293
2020-02-26,19343.0,8182.0,4854.0,4580.0,15396,88255,3057
2020-02-27,19490.0,7971.0,5022.0,4335.0,12576,69060,2173
2020-02-28,18353.0,8455.0,5128.0,4169.0,11636,62726,955
2020-02-29,18264.0,8758.0,5175.0,4256.0,65734,61139,544
2020-03-01,19923.0,7485.0,5139.0,4043.0,64613,56016,707
2020-03-02,22956.0,6470.0,5101.0,4229.0,55599,71337,677
2020-03-03,23485.0,6056.0,4868.0,4117.0,13480,90126,3014
2020-03-04,23358.0,5989.0,4625.0,3624.0,11625,90577,3352
2020-03-05,24259.0,6500.0,4819.0,3640.0,25669,82174,2833
2020-03-06,23675.0,6754.0,4857.0,3745.0,35966,86461,2009
2020-03-07,21298.0,6941.0,4882.0,3830.0,47631,64030,1016
2020-03-08,21339.0,6656.0,4856.0,3534.0,35257,78440,2813
2020-03-09,21256.0,6174.0,4797.0,3291.0,18185,62617,705
2020-03-10,21103.0,5737.0,4777.0,3657.0,38259,27846,0
2020-03-11,20928.0,6469.0,4831.0,3449.0,18197,53594,211
2020-03-12,21060.0,6666.0,4967.0,3700.0,33477,40347,745
2020-03-13,22360.0,6802.0,4981.0,3791.0,52234,64322,637
2020-03-14,22789.0,6970.0,5080.0,3395.0,44093,58866,1610
2020-03-15,22889.0,6950.0,4868.0,3566.0,39703,60126,3020
2020-03-16,22739.0,6581.0,5011.0,4056.0,27979,44221,736
2020-03-17,23026.0,6078.0,5104.0,3638.0,29255,71588,908
2020-03-18,22707.0,6701.0,5114.0,2979.0,49817,66305,0
2020-03-19,22770.0,6838.0,5172.0,3358.0,37735,66059,0
2020-03-20,22666.0,7408.0,5177.0,3370.0,12094,65439,1080
2020-03-21,22537.0,7535.0,5175.0,3301.0,10438,69306,2641
2020-03-22,22546.0,7569.0,5101.0,3748.0,25046,71884,972
2020-03-23,22709.0,7844.0,4838.0,2928.0,62231,76261,264
2020-03-24,22439.0,8026.0,4778.0,3613.0,57401,71499,3237
2020-03-25,22361.0,8334.0,4830.0,3382.0,66870,66551,630
2020-03-26,22303.0,8275.0,5153.0,2927.0,79529,73128,2076
2020-03-27,22088.0,7970.0,5119.0,3660.0,95612,85317,1990
2020-03-28,21775.0,8136.0,5150.0,3796.0,33919,75689,1537
2020-03-29,22134.0,8182.0,5135.0,3886.0,66490,66285,152
2020-03-30,22070.0,7283.0,5022.0,4000.0,54902,91613,2692
2020-03-31,21918.0,7604.0,5043.0,4710.0,62764,80784,1241
2020-04-01,21930.0,7136.0,4995.0,4639.0,74260,76246,2165
2020-04-02,21565.0,6276.0,4972.0,4607.0,91020,82761,2396
2020-04-03,21909.0,5610.0,5114.0,4599.0,80779,86545,2695
2020-04-04,21786.0,5957.0,5136.0,4525.0,73530,85006,3559
2020-04-05,21503.0,6427.0,4951.0,5038.0,47353,55046,2076
2020-04-06,21731.0,6225.0,4981.0,5494.0,32810,63233,0
2020-04-07,21634.0,5949.0,4971.0,5072.0,24693,68077,0
2020-04-08,21521.0,6087.0,4936.0,5109.0,31521,44433,8
2020-04-09,21790.0,5927.0,5048.0,4982.0,20983,48430,32
2020-04-10,21333.0,6633.0,5236.0,4919.0,30166,56103,0
2020-04-11,21518.0,6932.0,5260.0,4812.0,74919,76650,2221
2020-04-12,21711.0,6770.0,5243.0,4543.0,76025,84807,2193
2020-04-13,21461.0,6223.0,4737.0,5080.0,78494,98139,3568
2020-04-14,21281.0,6265.0,4295.0,5568.0,22611,99067,3837
2020-04-15,21187.0,6187.0,4188.0,5369.0,41801,102042,3934
2020-04-16,21600.0,6446.0,4571.0,5076.0,63294,90404,3247
2020-04-17,21843.0,6416.0,5140.0,5502.0,60999,79683,1134
2020-04-18,21613.0,6207.0,5508.0,5983.0,72701,85088,943
2020-04-19,21507.0,5943.0,5378.0,5876.0,75100,79584,2816
2020-04-20,20800.0,6036.0,5097.0,5858.0,83231,75563,1875
2020-04-21,21169.0,6244.0,5123.0,5596.0,97781,90662,2728
2020-04-22,21145.0,6471.0,5323.0,5912.0,69053,102353,3663
2020-04-23,21673.0,7036.0,5319.0,6544.0,73451,108386,3859
2020-04-24,21715.0,6887.0,5402.0,6708.0,48120,113604,4071
2020-04-25,20900.0,7006.0,5298.0,6964.0,32803,111739,4016
2020-04-26,21443.0,7115.0,5365.0,6820.0,81121,102260,1114
2020-04-27,21667.0,7351.0,5200.0,6937.0,96530,105808,2530
2020-04-28,21238.0,7305.0,5089.0,7808.0,41975,114109,2874
2020-04-29,21643.0,6703.0,5104.0,8096.0,50425,95744,2130
2020-04-30,21835.0,7177.0,5108.0,7839.0,110074,86518,1681
2020-05-01,20783.0,7198.0,5255.0,7628.0,89041,97414,3681
2020-05-02,21648.0,7904.0,5295.0,7685.0,103028,92186,4140
2020-05-03,22045.0,8136.0,5215.0,7663.0,80181,83951,3705
2020-05-04,21974.0,8022.0,5088.0,7454.0,57819,114412,4134
2020-05-05,21165.0,6970.0,5046.0,7453.0,53529,113448,4423
2020-05-06,21110.0,7337.0,5049.0,7336.0,81130,105749,3414
2020-05-07,20923.0,7794.0,5118.0,7366.0,38300,109531,3638
2020-05-08,20871.0,7926.0,5116.0,7063.0,31179,110960,4122
2020-05-09,21177.0,7946.0,5230.0,7320.0,43667,108386,3336
2020-05-10,19953.0,7132.0,5168.0,7549.0,58804,105731,2214
2020-05-11,19975.0,6792.0,4965.0,7666.0,75640,115040,3965
2020-05-12,20861.0,7089.0,4821.0,7849.0,81955,101110,1449
2020-05-13,20947.0,7279.0,4944.0,7875.0,90320,101661,4012
2020-05-14,20466.0,7177.0,4740.0,7782.0,85432,103146,3890
2020-05-15,21078.0,7342.0,5120.0,7630.0,83359,111971,4226
2020-05-16,21041.0,7319.0,5389.0,7861.0,52415,110779,2585
2020-05-17,21027.0,6904.0,5340.0,7923.0,52676,104088,3101
2020-05-18,21100.0,6280.0,4789.0,8384.0,54851,95651,4179
2020-05-19,22199.0,6566.0,5034.0,8225.0,80906,88471,3543
2020-05-20,22476.0,6786.0,5169.0,7767.0,74044,92529,4229
2020-05-21,22586.0,8012.0,5345.0,8112.0,51622,107623,4400
